AltaBaixa,A_Abrir,A_Alto,A_Baixo,A_Fechar,A_Volume,A_Cap
1,7295,7336,7170,7194,21168,130446
0,7421,7455,7277,7293,22874,132235
0,7318,7514,7280,7423,22445,134571
1,7290,7400,7287,7318,21366,132659
1,7239,7364,7190,7291,22777,132140
1,7275,7389,7201,7239,22787,131200
0,7326,7358,7221,7276,21560,131841
0,7355,7536,7270,7323,22992,132688
0,7509,7657,7327,7356,27832,133276
0,7192,7519,7168,7512,23135,136088
1,7221,7224,7113,7192,19313,130268
0,7209,7258,7087,7219,22634,130753
1,7278,7347,7042,7203,25905,130446
0,6648,7325,6541,7277,31837,131755
1,6932,6965,6588,6641,22364,120234
0,7154,7172,6904,6933,20213,125516
0,7125,7182,6925,7153,16881,129481
1,7269,7309,7098,7125,17137,128970
0,7245,7294,7228,7270,17126,131581
1,7217,7267,7165,7244,18927,131087
1,7278,7325,7196,7218,16350,130610
0,7398,7425,7247,7279,18249,131696
0,7562,7619,7366,7401,17872,133904
0,7552,7635,7477,7565,15410,136847
1,7548,7590,7526,7557,15454,136687
1,7451,7547,7393,7547,18104,136505
1,7254,7744,7233,7449,18816,134706
1,7321,7540,7171,7253,21664,131143
0,7324,7419,7230,7321,14797,132360
0,7425,7475,7234,7322,17082,132379
0,7572,7572,7292,7425,18721,134215
0,7765,7837,7516,7570,17158,136829
0,7467,7782,7461,7762,19710,140280
1,7537,7731,7455,7464,19050,134879
0,7221,7620,6975,7532,23991,136103
1,7146,7321,7099,7219,21130,130429
1,7040,7320,6618,7147,42685,129113
1,7399,7409,7030,7048,30434,127327
0,7297,7443,7152,7398,21009,133636
1,7644,7698,6937,7297,34242,131792
0,8024,8111,7598,7643,22514,138032
0,8204,8238,8011,8028,20764,144963
0,8306,8409,8100,8207,21084,148178
0,8574,8654,8274,8310,21579,150026
0,8550,8728,8501,8578,18669,154862
1,8492,8592,8474,8551,16495,154354
1,8706,8731,8485,8492,21797,153277
0,8812,8827,8693,8709,19085,157161
0,8813,8837,8762,8809,17546,158950
0,8760,8854,8686,8816,20310,159069
1,9057,9082,8701,8758,20266,158010
0,8813,9104,8807,9056,20588,163364
1,8810,8892,8794,8814,17579,158981
1,9266,9273,8776,8805,24333,158809
0,9353,9369,9203,9268,22700,167139
0,9341,9424,9306,9361,23134,168806
1,9413,9458,9257,9343,26199,168460
0,9236,9506,9192,9413,26170,169706
1,9325,9380,9142,9236,21132,166495
0,9260,9378,9250,9325,21243,168090
1,9194,9276,9133,9262,24325,166928
1,9203,9384,9029,9200,26584,165804
0,9423,9427,9086,9206,27707,165900
0,9249,9517,9233,9428,28427,169884
1,9566,9806,9257,9257,30948,166777
0,9242,9750,9113,9552,32593,172087
1,8668,10022,8663,9245,44496,166547
1,7491,8692,7480,8661,28705,156007
1,7510,7533,7447,7494,16269,134968
0,8077,8093,7470,7515,21943,135337
0,8244,8297,8075,8079,16803,145470
0,8226,8297,8197,8244,15869,148433
1,7998,8282,7950,8223,15504,148027
1,7974,8083,7945,7989,13798,143808
1,8101,8139,7903,7974,15652,143518
0,8048,8135,8001,8104,14313,145854
1,8205,8217,7986,8048,16072,144824
0,8374,8411,8183,8206,15220,147650
0,8321,8391,8285,8375,15151,150680
1,8337,8471,8277,8322,13808,149701
0,8316,8416,8314,8337,14533,149966
1,8586,8722,8317,8322,19604,149686
0,8586,8626,8472,8587,17619,154431
0,8230,8628,8170,8596,19385,154580
1,8247,8333,8186,8229,15592,147966
0,7990,8309,7906,8246,18010,148253
1,8150,8162,7959,7989,13161,143608
0,8211,8216,8072,8152,12200,146529
0,8260,8261,8152,8206,13139,147492
0,8391,8415,8147,8260,13669,148448
0,8345,8394,8228,8394,13126,150824
1,8300,8498,8233,8344,15305,149914
1,8105,8315,7831,8294,17115,149012
1,8247,8262,7991,8105,13035,145590
0,8252,8286,8126,8246,14141,148123
0,8114,8272,7966,8252,16409,148213
1,8488,8516,7896,8119,19258,145812
0,8604,8745,8326,8487,21745,152404
0,9730,9805,8371,8621,25003,154786
0,10068,10075,9728,9730,15145,174675
0,10025,10075,9923,10071,13200,180784
1,10184,10189,10001,10020,13425,179853
0,10267,10286,10133,10182,14734,182739
0,10201,10296,9852,10267,19938,184241
1,10248,10276,10192,10199,16169,182999
0,10282,10297,10200,10242,15305,183749
0,10348,10387,10190,10277,15160,184367
0,10357,10388,10314,10348,12043,185618
0,10346,10423,10292,10359,13469,185784
0,10416,10442,10227,10361,14110,185809
0,10177,10443,10100,10411,15324,186679
1,10124,10216,9981,10179,15428,182503
1,10337,10395,10021,10116,14907,181361
0,10444,10451,10145,10335,17596,185264
0,10519,10596,10410,10442,13671,187150
0,10354,10559,10349,10518,15307,188489
1,10579,10899,10293,10354,19537,185530
0,10589,10628,10517,10576,14551,189492
0,10622,10763,10435,10595,16743,189810
0,10346,10737,10309,10624,19385,190312
1,9758,10397,9731,10347,17248,185333
1,9631,9797,9583,9758,11445,174768
1,9598,9674,9532,9631,11455,172471
1,9515,9657,9429,9599,13595,171869
1,9757,9757,9422,9511,17046,170275
0,10204,10280,9717,9755,17604,174627
0,10373,10382,10088,10186,14763,182326
0,10127,10513,10127,10371,18439,185625
1,10161,10305,10009,10139,14154,181450
0,10408,10419,9983,10160,15451,181814
0,10137,10443,10079,10408,15627,186231
1,10143,10233,9832,10132,17098,181257
0,10765,10799,9963,10139,19473,181365
0,10917,10948,10619,10764,15053,192530
0,10351,10917,10314,10917,16038,195243
1,10234,10488,10120,10346,13000,185023
1,10359,10453,10087,10232,13778,182967
0,10320,10525,9856,10375,20228,185500
1,10039,10438,9676,10312,22899,184358
1,10890,10890,10029,10052,19991,179693
0,11386,11421,10831,10896,16682,194763
0,11529,11529,11321,11383,13647,203441
0,11350,11524,11249,11524,15774,205942
1,11862,11916,11324,11355,18125,202890
0,11954,11971,11710,11863,18340,211961
0,11955,11980,11557,11967,19482,213788
1,11477,12037,11434,11942,22195,213330
1,11812,12274,11291,11479,23635,205023
0,10961,11896,10961,11806,23876,210849
1,10822,11010,10621,10971,16531,195908
1,10520,10947,10504,10822,15353,193234
1,10403,10658,10372,10519,17489,187791
1,10078,10447,9923,10400,17165,185653
1,9605,10086,9599,10086,16632,180029
1,9523,9702,9438,9608,13830,171472
1,9549,9682,9473,9520,13791,169880
0,9492,9576,9253,9553,13739,170462
1,9872,10168,9412,9478,16818,169100
0,9914,9917,9718,9871,14496,176086
0,9810,10155,9774,9912,15822,176806
1,9888,9909,9615,9812,17399,175006
0,10347,10347,9884,9901,17852,176573
0,10597,10652,10155,10344,16334,184443
0,10778,10842,10390,10600,17131,188987
0,10526,11049,10452,10768,20207,191964
1,10654,10717,10230,10531,20727,187726
0,9699,10737,9377,10667,25187,190130
1,9472,9964,9164,9694,24570,172777
1,10897,10997,9449,9478,24151,168909
0,10258,11053,9993,10896,25384,194148
1,11382,11452,10235,10257,22486,182742
0,11814,11842,10909,11393,21043,202968
0,11355,11906,11180,11816,23535,210494
1,12140,12145,11159,11359,28595,202324
0,12572,13130,11711,12157,33628,216516
0,12285,12780,12234,12574,28168,223928
1,11447,12346,11394,12286,23483,218778
1,11218,11542,11149,11451,19369,203882
1,10983,11621,10983,11209,21092,199546
1,11204,11396,10875,10979,23838,195425
0,11973,12007,11167,11216,25920,199617
0,10819,11969,10819,11962,30796,212867
1,10589,10913,9738,10802,31016,192207
1,10797,11207,10090,10584,29379,188298
0,11932,12179,10800,10818,27256,192442
0,12401,12401,11509,11960,29924,212740
0,11163,12446,10915,12408,35088,220681
1,13018,13312,10492,11183,39977,198879
0,11779,13797,11756,13017,45106,231462
1,11008,11791,11008,11791,24880,209648
1,10854,11066,10611,11012,19272,195763
1,10697,11247,10557,10856,20998,192970
1,10176,11158,10108,10702,29995,190214
1,9526,10145,9526,10145,20624,180293
1,9274,9595,9233,9528,17847,169305
1,9079,9300,9071,9274,15547,164781
1,9336,9349,9005,9082,15848,161354
0,8989,9417,8989,9321,15563,165573
1,8842,9336,8815,8995,23349,159769
1,8690,8860,8619,8839,18371,156982
1,8231,8711,8184,8694,19831,154399
1,8146,8312,8088,8231,18669,146160
1,7926,8197,7863,8146,19034,144635
1,8005,8027,7773,7928,17107,140749
0,7693,8032,7587,8001,18689,142023
1,7950,7976,7584,7689,16611,136465
0,8037,8077,7838,7955,16523,141173
0,7827,8127,7789,8044,19141,142755
1,7820,7938,7572,7823,19475,138801
0,7705,7902,7669,7825,21761,138825
1,8211,8211,7565,7708,24610,136743
0,8742,8744,8205,8209,22005,145619
0,8566,8810,8562,8743,20266,155077
1,8574,8626,8482,8565,22488,151890
0,8321,8587,8173,8575,25365,152060
1,8662,9009,8222,8320,29247,147525
0,8719,8756,8483,8660,23473,153537
0,8803,8808,8635,8720,24227,154590
0,8675,8908,8669,8806,27950,156094
1,8056,8688,7925,8674,26678,153725
1,7992,8118,7966,8053,22257,142708
1,7882,8141,7825,7988,25919,141539
1,7678,7944,7534,7882,24457,139654
1,7957,7998,7616,7681,24719,136064
0,7978,8063,7844,7964,25127,141066
0,8197,8201,7679,7979,23843,141316
0,7268,8262,7268,8198,25902,145185
1,7342,7448,7252,7272,21354,128762
0,7887,7930,7039,7344,30067,130035
0,8195,8321,7730,7885,33167,139600
0,7990,8217,7900,8206,28344,145254
1,7808,8269,7697,7995,32031,141509
1,6972,8048,6899,7815,28678,138317
1,7204,7504,6816,6973,27773,123390
0,6380,7333,6376,7205,28868,127488
1,6176,6435,6162,6379,19420,112863
1,5983,6184,5983,6175,16785,109239
1,5850,5990,5795,5983,15321,105829
1,5746,5989,5742,5830,18026,103112
1,5792,5803,5654,5747,15737,101640
0,5832,5834,5709,5796,14809,102494
0,5770,5887,5646,5832,17568,103112
1,5506,5866,5491,5769,18721,101986
1,5403,5523,5395,5506,14644,97330
1,5351,5418,5348,5403,13680,95501
1,5248,5364,5225,5351,13879,94574
1,5285,5312,5217,5248,13735,92738
0,5272,5327,5256,5286,12820,93391
1,5280,5311,5234,5269,13111,93086
0,5211,5384,5178,5280,16812,93272
1,5467,5543,5182,5211,15330,92046
0,5572,5643,5419,5465,17048,96530
0,5400,5634,5390,5573,15867,98417
1,5313,5423,5281,5400,14602,95354
1,5336,5360,5258,5315,13732,93847
0,5305,5359,5296,5338,13170,94249
1,5299,5337,5234,5304,13780,93638
1,5252,5320,5251,5299,13256,93532
1,5237,5275,5220,5252,12438,92703
1,5067,5239,5056,5236,11619,92405
1,5168,5197,5025,5068,12290,89422
0,5096,5185,5054,5168,10392,91189
1,5089,5128,5062,5097,10823,89926
1,5062,5104,4956,5090,13675,89793
1,5326,5355,5018,5065,16556,89341
0,5205,5422,5194,5325,15505,93918
1,5290,5290,5168,5205,14722,91799
0,5200,5319,5149,5290,17154,93286
1,5063,5236,5051,5199,16655,91674
1,5037,5206,4993,5060,16930,89213
1,4923,5054,4920,5037,16837,88796
1,4972,5064,4837,4923,18252,86779
0,4880,5307,4877,4974,22900,87655
1,4157,4906,4156,4880,21315,85986
1,4106,4165,4097,4159,10158,73269
1,4106,4114,4095,4106,9045,72339
0,4093,4297,4054,4107,9733,72355
1,4069,4114,4035,4099,10919,72202
1,4088,4095,4041,4070,9354,71679
0,3985,4088,3978,4088,10897,71988
1,3970,3986,3945,3986,10708,70184
1,4025,4039,3935,3964,10360,69790
0,4036,4041,4007,4023,9145,70823
0,4023,4050,4016,4036,9579,71056
1,4029,4054,4022,4024,9253,70840
0,4084,4098,4006,4030,10831,70926
0,4071,4090,4032,4088,10176,71942
1,4033,4083,4024,4072,9345,71648
1,4030,4072,4010,4033,9647,70958
1,4048,4055,4007,4026,8222,70822
0,3964,4078,3962,4049,9856,71228
1,3927,3969,3915,3961,9394,69675
1,3906,3947,3902,3925,10481,69025
1,3914,3927,3892,3907,9469,68707
0,3904,3927,3864,3910,9810,68743
1,3954,3967,3890,3906,10126,68667
0,3967,3967,3925,3952,9713,69475
0,3895,3988,3893,3964,10796,69675
1,3914,3951,3876,3902,10639,68575
0,3904,3940,3895,3912,9584,68749
1,3898,3920,3872,3904,9175,68610
1,3760,3904,3746,3897,10174,68471
1,3846,3868,3734,3762,9029,66095
0,3863,3876,3837,3848,7254,67592
0,3856,3875,3833,3865,7579,67888
1,3854,3908,3852,3860,7661,67797
1,3849,3907,3846,3855,8400,67705
1,3858,3889,3788,3852,8301,67632
0,3879,3892,3838,3855,7931,67683
0,3807,3914,3807,3883,9319,68173
1,4146,4211,3794,3811,10794,66897
0,3999,4167,3969,4143,8922,72721
1,3953,4007,3951,4006,7827,70309
1,4001,4011,3941,3955,7775,69398
0,3947,4001,3927,4000,8693,70194
1,3912,4011,3909,3948,9934,69263
1,3672,3937,3670,3916,9908,68704
1,3634,3681,3620,3674,7040,64453
1,3616,3653,3616,3630,5935,63673
1,3618,3648,3609,3621,6092,63509
1,3632,3647,3608,3617,6271,63434
0,3654,3670,3618,3633,6439,63694
0,3643,3669,3619,3654,6480,64064
1,3696,3696,3643,3649,6277,63968
0,3674,3696,3641,3691,6282,64694
1,3672,3680,3647,3672,6159,64355
1,3402,3696,3392,3667,7736,64270
1,3415,3428,3395,3400,5005,59578
0,3470,3470,3399,3414,5482,59821
0,3455,3479,3452,3467,5228,60736
1,3468,3477,3443,3460,5333,60603
0,3517,3522,3448,3465,5044,60682
0,3485,3524,3468,3522,5072,61675
1,3461,3502,3432,3488,5423,61089
1,3486,3505,3448,3458,5831,60554
0,3444,3496,3430,3487,5955,61044
1,3469,3477,3401,3449,5897,60372
0,3585,3587,3440,3471,6909,60757
0,3605,3613,3568,3584,5571,62737
0,3600,3655,3594,3603,5098,63055
1,3608,3613,3576,3600,5266,63001
0,3585,3617,3570,3601,5263,63014
1,3606,3624,3566,3586,5434,62731
0,3576,3621,3540,3605,5314,63065
1,3601,3609,3559,3577,5004,62560
0,3726,3744,3584,3602,5582,62990
0,3653,3759,3653,3729,5956,65214
1,3678,3683,3638,3658,5003,63971
0,3652,3681,3622,3679,5464,64327
1,3632,3686,3625,3656,5394,63909
1,3705,3721,3620,3631,5537,63478
0,3558,3728,3553,3707,5651,64790
1,3659,3675,3545,3553,4681,62106
0,3687,3699,3654,3662,4778,63994
0,3675,3714,3654,3688,5539,64443
1,4035,4065,3660,3679,6874,64289
0,4032,4069,4023,4036,5116,70509
1,4029,4110,3997,4031,5307,70423
1,4079,4093,4021,4026,5229,70316
0,3837,4094,3827,4077,5597,71207
1,3852,3905,3837,3846,5138,67158
0,3833,3866,3784,3858,4848,67368
1,3932,3936,3827,3837,4530,66995
0,3850,3948,3818,3944,5245,68850
1,3747,3851,3708,3844,4324,67099
